地区,校区,自治区,センター,カレンダーNo
大分,滝尾,片島上,西部清掃事業所,1
大分,滝尾,片島下,西部清掃事業所,1
大分,滝尾,片島中,西部清掃事業所,1
大分,滝尾,羽田上,西部清掃事業所,1
大分,滝尾,羽田下,西部清掃事業所,1
大分,滝尾,米良上,西部清掃事業所,1
大分,滝尾,米良下,西部清掃事業所,1
大分,中島,芦崎,西部清掃事業所,1
大分,中島,新川西,西部清掃事業所,1
大分,中島,新川町,西部清掃事業所,1
大分,中島,浜町北,西部清掃事業所,1
大分,中島,浜町東,西部清掃事業所,1
大分,東大分,牧一丁目,東部清掃事業所,1
大分,東大分,牧二丁目,東部清掃事業所,1
大分,東大分,牧三丁目,東部清掃事業所,1
大分,東大分,牧上,東部清掃事業所,1
大分,明野,高城台,東部清掃事務所,2
大分,明野,高城団地,東部清掃事務所,2
大分,荏隈,荏隈町,西部清掃事務所,2
大分,荏隈,大石町,西部清掃事務所,2
大分,荏隈,賀来新川,西部清掃事務所,2
大分,荏隈,ツインプラザ大分,西部清掃事務所,2
大分,荏隈,中の瀬団地,西部清掃事務所,2
大分,荏隈,深河内の一部,西部清掃事務所,2
大分,寒田,大分大学寒田宿舎,西部清掃事業所,2
大分,寒田,寒田北町,西部清掃事業所,2
大分,寒田,寒田北町4丁目,西部清掃事業所,2
大分,寒田,寒田西町,西部清掃事業所,2
大分,寒田,寒田南町,西部清掃事業所,2
大分,寒田,寒田南町1丁目,西部清掃事業所,2
大分,寒田,寒田南町3丁目,西部清掃事業所,2
大分,寒田,寒田わかば台,西部清掃事業所,2
大分,南大分,尼が瀬,西部清掃事業所,2
大分,桃園,岡,東部清掃事業所,2
大分,桃園,岡新町,東部清掃事業所,2
大分,桃園,高城南町,東部清掃事業所,2
大分,明野,明野西町,東部清掃事務所,3
大分,明野,明野緑町,東部清掃事務所,3
大分,明野,明野元町,東部清掃事務所,3
大分,明野,則小池,東部清掃事務所,3
大分,明野,東原,東部清掃事務所,3
大分,賀来,桑原,西部清掃事業所,3
大分,賀来,国分新町,西部清掃事業所,3
大分,賀来,国分台,西部清掃事業所,3
大分,賀来,平横瀬,西部清掃事業所,3
大分,下郡,桜坂,西部清掃事業所,3
大分,西の台,高尾台,西部清掃事業所,3
大分,西の台,高崎,西部清掃事業所,3
大分,西の台,高崎山荘通り,西部清掃事業所,3
大分,明治,小池原,東部清掃事業所,3
大分,明治,小池原二,東部清掃事業所,3
大分,明治,浜田団地,東部清掃事業所,3
大分,明治,ひまわり団地,東部清掃事業所,3
大分,桃園,千歳,東部清掃事業所,3
大分,桃園,寺崎,東部清掃事業所,3
大分,桃園,仲西,東部清掃事業所,3
大分,桃園,桃園団地,東部清掃事業所,3
大分,桃園,山津,東部清掃事業所,3
大分,賀来,カームタウン野田,西部清掃事業所,4
大分,賀来,上片面,西部清掃事業所,4
大分,賀来,車木,西部清掃事業所,4
大分,賀来,下片面,西部清掃事業所,4
大分,賀来,東院,西部清掃事業所,4
大分,賀来,東野台,西部清掃事業所,4
大分,賀来,中尾,西部清掃事業所,4
大分,賀来,中島,西部清掃事業所,4
大分,賀来,野田,西部清掃事業所,4
大分,賀来,宮苑,西部清掃事業所,4
大分,賀来,餅田,西部清掃事業所,4
大分,賀来,森ノ木,西部清掃事業所,4
大分,賀来,脇,西部清掃事業所,4
大分,別保,森,東部清掃事業所,4
大分,別保,森町,東部清掃事業所,4
大分,桃園,三川上西,東部清掃事業所,4
大分,桃園,三川上東,東部清掃事業所,4
大分,桃園,三川下西,東部清掃事業所,4
大分,桃園,三川下東,東部清掃事業所,4
大分,大在,大在浜,東部清掃事業所,5
大分,大在,汐見,東部清掃事業所,5
大分,大在,平野,東部清掃事業所,5
