年度,カレンダーNo,収集品目コード,収集品目名称,収集日
2022,1,1,可燃物,2022/04/01
2022,1,1,可燃物,2022/04/05
2022,1,1,可燃物,2022/04/08
2022,1,1,可燃物,2022/04/12
2022,1,1,可燃物,2022/04/15
2022,1,1,可燃物,2022/04/19
2022,1,1,可燃物,2022/04/22
2022,1,1,可燃物,2022/04/26
2022,1,1,可燃物,2022/04/29
2022,1,1,可燃物,2022/05/03
2022,1,1,可燃物,2022/05/06
2022,1,1,可燃物,2022/05/10
2022,1,1,可燃物,2022/05/13
2022,1,1,可燃物,2022/05/17
2022,1,1,可燃物,2022/05/20
2022,1,1,可燃物,2022/05/24
2022,1,1,可燃物,2022/05/27
2022,1,1,可燃物,2022/05/31
2022,1,1,可燃物,2022/06/03
2022,1,1,可燃物,2022/06/07
2022,1,1,可燃物,2022/06/10
2022,1,1,可燃物,2022/06/14
2022,1,1,可燃物,2022/06/17
2022,1,1,可燃物,2022/06/21
2022,1,1,可燃物,2022/06/24
2022,1,1,可燃物,2022/06/28
2022,1,1,可燃物,2022/07/01
2022,1,1,可燃物,2022/07/05
2022,1,1,可燃物,2022/07/08
2022,1,1,可燃物,2022/07/12
2022,1,1,可燃物,2022/07/15
2022,1,1,可燃物,2022/07/19
2022,1,1,可燃物,2022/07/22
2022,1,1,可燃物,2022/07/26
2022,1,1,可燃物,2022/07/29
2022,1,1,可燃物,2022/08/02
2022,1,1,可燃物,2022/08/05
2022,1,1,可燃物,2022/08/09
2022,1,1,可燃物,2022/08/12
2022,1,1,可燃物,2022/08/16
2022,1,1,可燃物,2022/08/19
2022,1,1,可燃物,2022/08/23
2022,1,1,可燃物,2022/08/26
2022,1,1,可燃物,2022/08/30
2022,1,1,可燃物,2022/09/02
2022,1,1,可燃物,2022/09/06
2022,1,1,可燃物,2022/09/09
2022,1,1,可燃物,2022/09/13
2022,1,1,可燃物,2022/09/16
2022,1,1,可燃物,2022/09/20
2022,1,1,可燃物,2022/09/23
2022,1,1,可燃物,2022/09/27
2022,1,1,可燃物,2022/09/30
2022,1,1,可燃物,2022/10/04
2022,1,1,可燃物,2022/10/07
2022,1,1,可燃物,2022/10/11
2022,1,1,可燃物,2022/10/14
2022,1,1,可燃物,2022/10/18
2022,1,1,可燃物,2022/10/21
2022,1,1,可燃物,2022/10/25
2022,1,1,可燃物,2022/10/28
2022,1,1,可燃物,2022/11/01
2022,1,1,可燃物,2022/11/04
2022,1,1,可燃物,2022/11/08
2022,1,1,可燃物,2022/11/11
2022,1,1,可燃物,2022/11/15
2022,1,1,可燃物,2022/11/18
2022,1,1,可燃物,2022/11/22
2022,1,1,可燃物,2022/11/25
2022,1,1,可燃物,2022/11/29
2022,1,1,可燃物,2022/12/02
